## //////////////////////////////////////////////////////////////////////////////////
## 
## PEATLAND C BALANCE (YML)
## 
## Decadal peatland net carbon balance (NCB), derived following the methodology of 
## Yu et al. (2010), using data from 64 peat cores from Loisel et al., 2014, as described
## in Stocker et al., 2017. 
## 
## Provided are summary statistics based on a set of 1000 individual Monte Carlo 
## simulations. Values are given at a decadal time step and are representative of 
## annual values within the decade starting in 'year'-5 and ending in 'year'+4.
## 
## This data is used to create Fig. S1 in Stocker et al., 2017. Only values until 1200 CE
## are provided here due to autogenic effects affecting younger peat.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
##
## This data is made available under the GNU General Public License v3.0
## 
## Columns description:
## 1.  age          year before present (1950 CE)
## 2.  year         year CE
## 3.  mean         mean over 1000 MC simulations (PgC yr-1)
## 4.  median       median of 1000 MC simulations (PgC yr-1)
## 5.  sd           standard deviation of 1000 MC simulations (PgC yr-1)
## 6.  q10          10%-quantile of 1000 MC simulations (PgC yr-1)
## 7.  q90          90%-quantile of 1000 MC simulations (PgC yr-1)
## 
## ----------------------------------------------------------------------------------
"age","year","mean","median","sd","q10","q90"
12000,-10045,0.0146346693386774,0.01235,0.00976829972304903,0.0062,0.0257
11990,-10035,0.0147434869739479,0.012,0.00999245315352576,0.006,0.02693
11980,-10025,0.0144312625250501,0.01195,0.0106299884559174,0.00597,0.02533
11970,-10015,0.0145021042084168,0.01185,0.010026027591672,0.0059,0.02653
11960,-10005,0.0152723446893788,0.012,0.012304265991851,0.0061,0.02656
11950,-9995,0.0143356713426854,0.0116,0.010810249515342,0.0059,0.02513
11940,-9985,0.0149825651302605,0.0119,0.0116126127533015,0.0063,0.02563
11930,-9975,0.0143302605210421,0.0117,0.0105701290918949,0.006,0.0253
11920,-9965,0.0149225450901804,0.0119,0.0121483236719965,0.00587,0.02573
11910,-9955,0.0153546092184369,0.0121,0.0135192226826628,0.0059,0.02863
11900,-9945,0.0152906813627255,0.0121,0.0127539740826684,0.006,0.02763
11890,-9935,0.0148618236472946,0.0117,0.0122518283277673,0.00567,0.02703
11880,-9925,0.0153970941883768,0.012,0.0123782059086808,0.0062,0.0286
11870,-9915,0.0151224448897796,0.0121,0.0118508745211151,0.00607,0.02743
11860,-9905,0.0150470941883768,0.0125,0.0107221995534002,0.0056,0.02723
11850,-9895,0.0158857715430862,0.0125,0.0125738762937713,0.00577,0.0297
11840,-9885,0.0157430861723447,0.0125,0.0133475810938822,0.0059,0.02853
11830,-9875,0.0158852705410822,0.0124,0.0154506608998996,0.0056,0.02839
11820,-9865,0.0161003006012024,0.0125,0.0141486041327948,0.00637,0.02863
11810,-9855,0.016101503006012,0.0127,0.0134886633831928,0.0064,0.02823
11800,-9845,0.0156100200400802,0.0128,0.0127813351173398,0.0059,0.0277
11790,-9835,0.0162689378757515,0.0132,0.0130347285941333,0.0062,0.0284
11780,-9825,0.0164070140280561,0.0136,0.0133053058737854,0.00617,0.02943
11770,-9815,0.0166857715430862,0.0131,0.0144778514463791,0.0063,0.02983
11760,-9805,0.0175687374749499,0.0131,0.0221492540047768,0.0062,0.03
11750,-9795,0.018486372745491,0.01375,0.0182487156132683,0.0062,0.03389
11740,-9785,0.0195947895791583,0.0139,0.0229662106888801,0.0057,0.03552
11730,-9775,0.0206264529058116,0.0145,0.0269623222684845,0.0066,0.03553
11720,-9765,0.02032374749499,0.0142,0.0232594103039486,0.0063,0.03813
11710,-9755,0.021235871743487,0.0153,0.041509037284916,0.0061,0.03896
11700,-9745,0.0233900801603206,0.0171,0.0238175119064488,0.0065,0.04383
11690,-9735,0.0222950901803607,0.0181,0.0175053092946795,0.007,0.04243
11680,-9725,0.024276753507014,0.0186,0.024150886871737,0.00697,0.04636
11670,-9715,0.026963627254509,0.0194,0.0437373492203151,0.00737,0.04663
11660,-9705,0.0254304609218437,0.0207,0.0225132056195866,0.0081,0.0471
11650,-9695,0.0261702404809619,0.02095,0.0255051092516008,0.0075,0.04735
11640,-9685,0.0271119238476954,0.0216,0.024614914384101,0.0088,0.04853
11630,-9675,0.0276887775551102,0.0223,0.0246244652159215,0.00857,0.04883
11620,-9665,0.0278238476953908,0.0233,0.0214255655000244,0.0091,0.05023
11610,-9655,0.0274270541082164,0.0222,0.0263461562545135,0.0084,0.04953
11600,-9645,0.0279379759519038,0.0231,0.020678715592296,0.00927,0.04882
11590,-9635,0.0308951903807615,0.024,0.0306147216295558,0.00824,0.05773
11580,-9625,0.0308480961923848,0.0238,0.0297298952469893,0.00947,0.05655
11570,-9615,0.0294967935871743,0.02425,0.0236302470462303,0.009,0.0542
11560,-9605,0.0298444889779559,0.0242,0.0308068552709366,0.00917,0.05563
11550,-9595,0.0300889779559118,0.0231,0.03014653511593,0.00801,0.05329
11540,-9585,0.0303011022044088,0.0238,0.0266557384810379,0.00977,0.05783
11530,-9575,0.0307876753507014,0.02455,0.0318389080624106,0.0085,0.05316
11520,-9565,0.0313814629258517,0.0243,0.0365407856251949,0.0079,0.0562
11510,-9555,0.0332228456913828,0.02485,0.0464539305345043,0.00844,0.05853
11500,-9545,0.0320275551102204,0.0254,0.0289188684961872,0.00937,0.05913
11490,-9535,0.032725751503006,0.0249,0.0346739940846699,0.00861,0.05793
11480,-9525,0.031964629258517,0.0243,0.0320225406666158,0.00907,0.06086
11470,-9515,0.033584869739479,0.02365,0.0521813799239284,0.0081,0.05976
11460,-9505,0.0308668336673347,0.02165,0.0349627196810671,0.00837,0.05678
11450,-9495,0.0276310621242485,0.0209,0.0271862707450879,0.00887,0.0511
11440,-9485,0.0259284569138277,0.0195,0.0444327595608265,0.0084,0.0451
11430,-9475,0.0216718436873748,0.0173,0.0188084985488102,0.0078,0.0369
11420,-9465,0.020203006012024,0.0169,0.015099750274658,0.0081,0.03623
11410,-9455,0.0198229458917836,0.0163,0.0157111209818586,0.0084,0.0347
11400,-9445,0.018023246492986,0.0152,0.0112651645562237,0.0076,0.0308
11390,-9435,0.0179241482965932,0.0156,0.011378558027025,0.0076,0.0303
11380,-9425,0.0181279559118236,0.0153,0.0114356158539862,0.008,0.03123
11370,-9415,0.0178235470941884,0.0159,0.0103793800988786,0.0076,0.03056
11360,-9405,0.0186411823647295,0.01625,0.0121878286378471,0.0083,0.0321
11350,-9395,0.0182040080160321,0.016,0.0104982056052798,0.0082,0.0299
11340,-9385,0.01912374749499,0.0164,0.0133115814909325,0.00867,0.0329
11330,-9375,0.0182556112224449,0.01575,0.0114540485971096,0.0081,0.0304
11320,-9365,0.0183241482965932,0.01565,0.0120179716655897,0.0076,0.0311
11310,-9355,0.0185130260521042,0.01545,0.0123070036025974,0.0079,0.03193
11300,-9345,0.0186849699398798,0.016,0.0118748165608636,0.0079,0.03233
11290,-9335,0.018610120240481,0.01545,0.0124004031296933,0.0082,0.03193
11280,-9325,0.0196411823647295,0.0164,0.0136477007812545,0.0085,0.03449
11270,-9315,0.0210871743486974,0.0174,0.0137892838421108,0.00897,0.03823
11260,-9305,0.0218543086172345,0.01795,0.0145847606150922,0.00894,0.0391
11250,-9295,0.0234890781563126,0.01985,0.0171467192458087,0.00947,0.04076
11240,-9285,0.0247083166332665,0.0213,0.0162508760961871,0.01097,0.04029
11230,-9275,0.0252173346693387,0.0218,0.0160395414766934,0.01087,0.04393
11220,-9265,0.0252513026052104,0.0225,0.015810273481166,0.01127,0.04236
11210,-9255,0.0267721442885772,0.0232,0.0171220272474497,0.012,0.04455
11200,-9245,0.0268174348697395,0.0236,0.0144799490124612,0.01257,0.0464
11190,-9235,0.0269575150300601,0.02395,0.0155953970087605,0.0122,0.04443
11180,-9225,0.0276452905811623,0.0241,0.0150594126909891,0.0129,0.0469
11170,-9215,0.0272657314629259,0.0247,0.0144770356669152,0.0128,0.04426
11160,-9205,0.0270846693386774,0.0244,0.0144598449781198,0.0129,0.04423
11150,-9195,0.0273717434869739,0.02405,0.0153040610958139,0.01317,0.04503
11140,-9185,0.0271454909819639,0.02375,0.0153729006023003,0.0129,0.0452
11130,-9175,0.0263137274549098,0.0239,0.0128051872456069,0.01357,0.042
11120,-9165,0.0267679358717435,0.0244,0.0126971645618867,0.0135,0.043
11110,-9155,0.0274238476953908,0.0245,0.0139351137278702,0.0138,0.04519
11100,-9145,0.0274426853707415,0.0246,0.0136791006644505,0.0143,0.04413
11090,-9135,0.0274563126252505,0.0251,0.0126338377700865,0.01487,0.04386
11080,-9125,0.0281112224448898,0.0254,0.0139442367853963,0.0144,0.0435
11070,-9115,0.0296833667334669,0.0269,0.0144644559297544,0.01537,0.0485
11060,-9105,0.0291329659318637,0.0266,0.0136465545385332,0.0154,0.04623
11050,-9095,0.0297842685370741,0.0267,0.0142043780604532,0.0157,0.0473
11040,-9085,0.0305431863727455,0.02745,0.014732113023247,0.0155,0.0503
11030,-9075,0.0307350701402806,0.02775,0.0149365005839444,0.01587,0.04913
11020,-9065,0.0309207414829659,0.0281,0.0144213997574506,0.01577,0.05033
11010,-9055,0.0311278557114228,0.028,0.0148368156592965,0.01667,0.04936
11000,-9045,0.0316218436873748,0.02875,0.0158662907244154,0.0167,0.04913
10990,-9035,0.0312084168336673,0.0283,0.0154836980082482,0.01627,0.0487
10980,-9025,0.0323814629258517,0.0293,0.0150057122879233,0.01704,0.0511100000000001
10970,-9015,0.0324279559118236,0.02935,0.0153270658271788,0.01767,0.05113
10960,-9005,0.0333962925851703,0.0302,0.0161176266848572,0.0181,0.05305
10950,-8995,0.0333027054108216,0.0307,0.0153873569842345,0.01757,0.05172
10940,-8985,0.0332498997995992,0.03075,0.014436702883985,0.01787,0.05196
10930,-8975,0.0339006012024048,0.0306,0.0161373610887283,0.018,0.05503
10920,-8965,0.0335583166332665,0.0306,0.015525498035157,0.01807,0.0521
10910,-8955,0.0331452905811623,0.031,0.0144105783078693,0.0177,0.05153
10900,-8945,0.0332965931863727,0.0303,0.0156595008963185,0.01837,0.0512
10890,-8935,0.0342731462925852,0.03165,0.0146834707498065,0.01867,0.05323
10880,-8925,0.0343986973947896,0.031,0.0162918741646874,0.01827,0.0561
10870,-8915,0.0345579158316633,0.0318,0.0158730429642133,0.01897,0.05355
10860,-8905,0.0341449899799599,0.031,0.0151923438575342,0.01947,0.05353
10850,-8895,0.0343493987975952,0.0316,0.0143607216258838,0.0199,0.05236
10840,-8885,0.0345918837675351,0.0325,0.0152119418148985,0.01917,0.05232
10830,-8875,0.0344105210420842,0.03185,0.0146777098017412,0.0186,0.05399
10820,-8865,0.0357909819639279,0.0333,0.015839882083872,0.0198,0.05483
10810,-8855,0.0347159318637275,0.0322,0.0153223719420054,0.0189,0.05393
10800,-8845,0.0355673346693387,0.0328,0.0151744742616531,0.0194,0.05483
10790,-8835,0.0354517034068136,0.03195,0.0158776241595228,0.01927,0.0544
10780,-8825,0.0354553106212425,0.032,0.0168146640058789,0.01884,0.0543
10770,-8815,0.0355249498997996,0.0317,0.0166422402708045,0.01934,0.055
10760,-8805,0.0350764529058116,0.03175,0.016508939757569,0.01937,0.0557
10750,-8795,0.0346683366733467,0.03195,0.0170323068863996,0.01867,0.05233
10740,-8785,0.0346117234468938,0.0315,0.0156061869799073,0.0193,0.05319
10730,-8775,0.0352364729458918,0.0321,0.0162193413394387,0.019,0.05473
10720,-8765,0.0354547094188377,0.0329,0.0160170412278553,0.0195,0.05363
10710,-8755,0.0355199398797595,0.0325,0.0146719539220947,0.0199,0.05593
10700,-8745,0.0360229458917836,0.03275,0.0172610415446083,0.01887,0.05686
10690,-8735,0.0363177354709419,0.03275,0.0163297255301439,0.02,0.05683
10680,-8725,0.0361044088176353,0.03305,0.0160180728107633,0.02057,0.057
10670,-8715,0.0355782565130261,0.0329,0.0159793522164732,0.01927,0.05522
10660,-8705,0.0357821643286573,0.03325,0.0161411210854369,0.01997,0.05413
10650,-8695,0.0358402805611222,0.0329,0.0174409248119568,0.0193,0.05569
10640,-8685,0.0353281563126253,0.0324,0.0154913247411033,0.01941,0.05523
10630,-8675,0.0360810621242485,0.03235,0.0228849398840074,0.02,0.0537
10620,-8665,0.0363533066132265,0.03245,0.0258523406025851,0.0197,0.05553
10610,-8655,0.0347721442885772,0.0317,0.0152257069480345,0.0197,0.05426
10600,-8645,0.0352087174348697,0.0328,0.0141005507250805,0.02,0.05313
10590,-8635,0.0349939879759519,0.03225,0.0154037342555271,0.01987,0.05256
10580,-8625,0.0360255511022044,0.0326,0.0184180921052449,0.01897,0.0550400000000001
10570,-8615,0.035275250501002,0.0323,0.0159239824900181,0.0194,0.0549
10560,-8605,0.0366866733466934,0.0333,0.0172997629506869,0.0198,0.05643
10550,-8595,0.0366163326653307,0.0328,0.0169720941464719,0.0202,0.05923
10540,-8585,0.0367559118236473,0.033,0.0167624083927584,0.0198,0.05886
10530,-8575,0.0374137274549098,0.0335,0.0199738138986735,0.01977,0.0582
10520,-8565,0.0376707414829659,0.0337,0.0210615291391756,0.0199,0.05895
10510,-8555,0.0370256513026052,0.0334,0.0175464142572354,0.02031,0.0595
10500,-8545,0.0371871743486974,0.0343,0.0171013040330425,0.0199,0.05812
10490,-8535,0.0361283567134269,0.033,0.0164883895050554,0.01977,0.05743
10480,-8525,0.0368555110220441,0.0335,0.0176908451662851,0.01997,0.05703
10470,-8515,0.0362819639278557,0.033,0.016696705521645,0.01987,0.05796
10460,-8505,0.035461122244489,0.0325,0.0158913333288302,0.01907,0.05562
10450,-8495,0.0354534068136273,0.032,0.0165878072530769,0.01927,0.0554
10440,-8485,0.0358550100200401,0.0324,0.016317648940664,0.02027,0.05743
10430,-8475,0.0361618236472946,0.0327,0.0192700227506715,0.01967,0.05695
10420,-8465,0.0362827655310621,0.0339,0.0158938222061307,0.0203,0.05413
10410,-8455,0.0370638276553106,0.03375,0.0167361908578879,0.02067,0.0568
10400,-8445,0.0383745490981964,0.03465,0.0197426693363554,0.0211,0.05893
10390,-8435,0.0382745490981964,0.03575,0.0166360158878548,0.0212,0.0587
10380,-8425,0.0379610220440882,0.0351,0.0168573784254745,0.02117,0.0571
10370,-8415,0.0367817635270541,0.0338,0.0167960307227724,0.0205,0.056
10360,-8405,0.0372205410821643,0.034,0.0158876960433069,0.0216,0.05683
10350,-8395,0.0374164328657315,0.0343,0.0170645882169493,0.02047,0.05863
10340,-8385,0.0387057114228457,0.0344,0.0238633786368315,0.02017,0.05966
10330,-8375,0.0386833667334669,0.0352,0.0176966975223449,0.02097,0.06029
10320,-8365,0.0381250501002004,0.0345,0.0213325602807514,0.02077,0.0585
10310,-8355,0.0380264529058116,0.03485,0.0178442667321724,0.021,0.05906
10300,-8345,0.0382524048096192,0.0351,0.0173791193850626,0.021,0.05923
10290,-8335,0.0378155310621242,0.03475,0.0196113555131645,0.0205,0.05773
10280,-8325,0.0380629258517034,0.0356,0.015684599076837,0.02147,0.0572
