## //////////////////////////////////////////////////////////////////////////////////
## 
## CUMULATIVE PEATLAND C BALANCE (YML)
## 
## Cumulative peatland net carbon balance (NCB), derived following the methodology of 
## Yu et al. (2010), using data from 64 peat cores from Loisel et al., 2014, as described
## in Stocker et al., 2017. 
## 
## Provided are summary statistics based on a set of 1000 individual Monte Carlo simulations. 
## Values are given at a decadal time step and are representative of annual values at the
## end of the decade. 
## 
## This data is used to create Fig. 1 in Stocker et al., 2017. Only values until 1200 CE
## are provided here due to autogenic effects affecting younger peat. Note that the 
## curve plotted in Fig 1, top panel (Stocker et al., 2017) is offset by 24 GtC, corresponding 
## to the cumulative peat C balance (NCB), in year -9050 CE (=11 ka BP, i.e. first year of 
## the C balance evaluation), starting from 12 ka BP.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
## 
## Columns description:
## 1.  age          year before present (1950 CE)
## 2.  year         year CE
## 3.  mean         mean over 1000 MC simulations (PgC)
## 4.  median       median of 1000 MC simulations (PgC)
## 5.  sd           standard deviation of 1000 MC simulations (PgC)
## 6.  q10          10%-quantile of 1000 MC simulations (PgC)
## 7.  q90          90%-quantile of 1000 MC simulations (PgC)
## 
## ----------------------------------------------------------------------------------
"age","year","mean","median","sd","q10","q90"
12000,-10045,0.146346693386774,0.1235,0.0976829972304903,0.062,0.257
11990,-10035,0.293781563126253,0.2515,0.172742450612153,0.1377,0.4983
11980,-10025,0.438094188376754,0.381,0.248066705580465,0.2217,0.756
11970,-10015,0.583115230460922,0.5,0.30994632425673,0.2974,0.9789
11960,-10005,0.735838677354709,0.633,0.38243332854158,0.3827,1.2339
11950,-9995,0.879195390781563,0.758,0.444486171628663,0.4597,1.443
11940,-9985,1.02902104208417,0.9005,0.506966406550007,0.5394,1.647
11930,-9975,1.17232364729459,1.0405,0.560746855157146,0.626,1.8723
11920,-9965,1.32154909819639,1.1725,0.618180043995738,0.712,2.1083
11910,-9955,1.47509519038076,1.3345,0.68064882901702,0.7907,2.3736
11900,-9945,1.62800200400802,1.467,0.739596272255204,0.879,2.5919
11890,-9935,1.77662024048096,1.6105,0.798640976471305,0.9741,2.7799
11880,-9925,1.93059118236473,1.7625,0.852625943895102,1.0711,3.0226
11870,-9915,2.08181563126253,1.894,0.90046938393839,1.156,3.2603
11860,-9905,2.23228657314629,2.0545,0.946158851227079,1.243,3.4532
11850,-9895,2.39114428857715,2.201,0.993762121780914,1.3387,3.6966
11840,-9885,2.5485751503006,2.33,1.03957227232738,1.4372,3.9688
11830,-9875,2.70742785571142,2.5035,1.09222291726947,1.5436,4.1495
11820,-9865,2.86843086172345,2.639,1.14212423932935,1.6521,4.3697
11810,-9855,3.02944589178357,2.782,1.19109804476158,1.7705,4.5579
11800,-9845,3.18554609218437,2.945,1.23748353762685,1.8924,4.7173
11790,-9835,3.34823547094188,3.124,1.27919548268162,2.0048,4.898
11780,-9825,3.51230561122245,3.2845,1.32283338947788,2.1107,5.0966
11770,-9815,3.67916332665331,3.446,1.37202724779204,2.2134,5.331
11760,-9805,3.85485070140281,3.621,1.42048776383894,2.3246,5.563
11750,-9795,4.03971442885772,3.7945,1.46465881417415,2.4512,5.8292
11740,-9785,4.2356623246493,3.999,1.51130212981593,2.5667,6.0738
11730,-9775,4.44192685370741,4.186,1.57454243298812,2.7214,6.4221
11720,-9765,4.64516432865731,4.3975,1.6250216642488,2.8975,6.7187
11710,-9755,4.85752304609218,4.584,1.70733299236276,3.043,6.9656
11700,-9745,5.09142384769539,4.8175,1.7463857550176,3.2015,7.226
11690,-9735,5.314374749499,5.0075,1.78924952127753,3.3691,7.5112
11680,-9725,5.55714228456914,5.295,1.82197639109422,3.5584,7.7653
11670,-9715,5.82677855711423,5.5665,1.87639721530115,3.7798,8.1385
11660,-9705,6.08108316633267,5.7905,1.90940797540673,3.9713,8.4217
11650,-9695,6.34278557114228,6.0515,1.94300717000744,4.1596,8.7829
11640,-9685,6.61390480961924,6.3045,1.980838444393,4.3587,9.1263
11630,-9675,6.89079258517034,6.6055,2.01371572948683,4.5832,9.413
11620,-9665,7.16903106212425,6.929,2.03849467688295,4.8408,9.6561
11610,-9655,7.44330160320641,7.2285,2.06936065653086,5.0556,9.9403
11600,-9645,7.72268136272545,7.5375,2.09760628504362,5.2707,10.2706
11590,-9635,8.03163326653307,7.8355,2.12663749069418,5.4743,10.6156
11580,-9625,8.34011422845691,8.213,2.16968990638006,5.7421,10.9573
11570,-9615,8.63508216432866,8.486,2.19290355859861,6.0471,11.3109
11560,-9605,8.93352705410822,8.814,2.22199908338172,6.2965,11.7336
11550,-9595,9.23441683366733,9.0925,2.26197158269505,6.5261,12.1052
11540,-9585,9.53742785571142,9.3875,2.28350337580384,6.8106,12.3983
11530,-9575,9.84530460921844,9.6725,2.31800595257807,7.0534,12.751
11520,-9565,10.159119238477,9.9835,2.36173012394424,7.3966,13.1335
11510,-9555,10.4913476953908,10.2875,2.39877066817677,7.6718,13.5399
11500,-9545,10.811623246493,10.6235,2.4293496123361,7.9312,13.8514
11490,-9535,11.138880761523,10.905,2.48294161146582,8.2077,14.3195
11480,-9525,11.4585270541082,11.2335,2.50513844220502,8.4393,14.6893
11470,-9515,11.794375751503,11.608,2.55680230722045,8.8315,15.0512
11460,-9505,12.1030440881764,11.887,2.61848888333645,9.0697,15.3416
11450,-9495,12.3793547094188,12.1295,2.6313597917224,9.3763,15.6272
11440,-9485,12.6386392785571,12.354,2.7034059776104,9.6152,15.9239
11430,-9475,12.8553577154309,12.5595,2.72058413496106,9.8392,16.1005
11420,-9465,13.0573877755511,12.781,2.73860589308571,10.0243,16.3307
11410,-9455,13.2556172344689,12.9815,2.7572774918904,10.241,16.5096
11400,-9445,13.4358496993988,13.156,2.76766445130184,10.3872,16.692
11390,-9435,13.6150911823647,13.3015,2.78191932415026,10.5302,16.9612
11380,-9425,13.796370741483,13.498,2.79322197252367,10.7012,17.1044
11370,-9415,13.9746062124248,13.7145,2.80643519714759,10.853,17.2777
11360,-9405,14.1610180360721,13.9035,2.82684700854228,11.033,17.5349
11350,-9395,14.3430581162325,14.1155,2.84202748320193,11.1995,17.7313
11340,-9385,14.5342955911824,14.294,2.86484475359262,11.3658,17.8819
11330,-9375,14.7168517034068,14.4575,2.8871809923001,11.5141,18.0626
11320,-9365,14.9000931863727,14.602,2.90972259141842,11.6475,18.3543
11310,-9355,15.0852234468938,14.7885,2.9323618041474,11.8306,18.4454
11300,-9345,15.2720731462926,14.965,2.95636140244828,11.9727,18.6903
11290,-9335,15.4581743486974,15.1315,2.97260820362525,12.119,18.8798
11280,-9325,15.6545861723447,15.322,2.98893656967521,12.3335,19.1932
11270,-9315,15.8654579158317,15.5085,3.00776400481461,12.5662,19.4508
11260,-9305,16.084001002004,15.712,3.01874685203463,12.75,19.6888
11250,-9295,16.3188917835671,15.89,3.04008869280041,12.9957,19.936
11240,-9285,16.5659749498998,16.1875,3.06432516036387,13.2145,20.3024
11230,-9275,16.8181482965932,16.4205,3.08570244657818,13.4538,20.5595
11220,-9265,17.0706613226453,16.6705,3.09875368377436,13.7228,20.9439
11210,-9255,17.3383827655311,16.9655,3.11987973461461,13.9208,21.2436
11200,-9245,17.6065571142285,17.2165,3.1284017095016,14.1656,21.583
11190,-9235,17.8761322645291,17.556,3.14523935979957,14.4056,21.9384
11180,-9225,18.1525851703407,17.8355,3.16146441130251,14.6762,22.1835
11170,-9215,18.4252424849699,18.129,3.18190653049789,14.9095,22.4344
11160,-9205,18.6960891783567,18.3845,3.20134461705305,15.1281,22.73
11150,-9195,18.9698066132265,18.66,3.22399164453764,15.3718,23.0221
11140,-9185,19.2412615230461,18.9505,3.24575590779427,15.6071,23.3246
11130,-9175,19.5043987975952,19.157,3.26048250505594,15.797,23.5604
11120,-9165,19.7720781563126,19.4245,3.27520567943934,16.0787,23.87
11110,-9155,20.0463166332665,19.688,3.29503005222701,16.3019,24.1369
