## //////////////////////////////////////////////////////////////////////////////////
## 
## PEATLAND C BALANCE (LPX)
## 
## Annual peatland net ecosystem productivity (NEP) and total global peatland C 
## storage (TOTC), simulated by LPX. 
## 
## NEP represents the net CO2 exchange between the biosphere and the atmosphere over 
## active peatlands only. This is compared to annual values of NCB in Fig. S1 (Stocker 
## et al., 2017). TOTC represents the total global amount of C stored in active 
## peatlands as simulated by LPX and is compared in Fig. 1 (Stocker 
## et al., 2017) to cumulative values of YML NCB. Cumulative NEP is not identical to 
## TOTC due to simulated spatial shifts in peatland extent and decaying peat C not
## accounted for in NEP.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
##
## This data is made available under the GNU General Public License v3.0
##
## Columns description:
## 1.  year      year CE
## 2.  nep       net ecosystem productivity, summed over all peatland areas globally (PgC yr-1)
## 3.  totc      total global carbon storage in peatlands (PgC)
## 
## ----------------------------------------------------------------------------------
"year","nep","totc"
-10995,0.028719793,261.46727
-10985,0.031688289,260.19595
-10975,0.02076443,259.76436
-10965,0.024490297,260.61061
-10955,0.024470494,262.27868
-10945,0.038264582,263.25169
-10935,0.01873434,263.70709
-10925,0.037904193,263.59351
-10915,0.027179277,262.89422
-10905,0.018666718,260.56889
-10895,0.027911887,260.09656
-10885,0.025523526,260.24451
-10875,0.017843791,260.85203
-10865,0.020470564,260.682
-10855,0.020050581,259.02844
-10845,0.014265059,258.2141
-10835,0.0029283468,256.31044
-10825,0.0089196498,254.42387
-10815,0.0095980504,254.21431
-10805,0.016936488,254.6186
-10795,0.0092990179,255.48443
-10785,0.016467328,256.75927
-10775,0.023394044,257.49089
-10765,0.030246197,257.47887
-10755,0.019917546,258.06118
-10745,0.015398883,257.82579
-10735,0.0022486886,256.13621
-10725,0.026840004,254.42595
-10715,0.01290496,254.1041
-10705,0.026267538,254.5507
-10695,0.029470707,257.45529
-10685,0.040529174,259.5138
-10675,0.0092493565,261.04182
-10665,0.024413106,260.95079
-10655,0.02340599,260.87396
-10645,0.014705992,262.96624
-10635,0.021697628,264.26963
-10625,0.028714003,264.87158
-10615,0.024432196,265.56823
-10605,0.041446908,267.27773
-10595,0.032504013,269.45611
-10585,0.034688677,270.11335
-10575,0.031593953,269.53813
-10565,0.036819647,269.156
-10555,0.027514409,267.67571
-10545,0.024430272,266.4112
-10535,0.034161807,265.11026
-10525,0.02248726,264.91121
-10515,0.031686659,266.72547
-10505,0.020517195,267.1532
-10495,0.017443767,267.85567
-10485,0.04100879,267.81747
-10475,0.032432158,267.94171
-10465,0.026275856,267.41047
-10455,0.040712855,265.89584
-10445,0.026496722,265.5312
-10435,0.027306647,265.56782
-10425,0.029944499,265.73701
