##//////////////////////////////////////////////////////////////////////////////////
##
## CO2 EMISSIONS FROM LAND USE CHANGE 
##
## Provided are annual and cumulative CO2 emissions from anthropogenic land use 
## change, simulated using the LPX model in a D1 setup (see Pongratz et al., 2014) 
## under constant preindustrial environmental boundary conditions, and following six 
## different land use change scenarios (HYDE 3.1, HYDE 3.1 upper, HYDE 3.2, 
## HYDE 3.2 upper, KK10, KK10D). Further description is provided in the manuscript. 
##
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017 
##
## Columns description:
## 1.  year         year CE (AD)
## 2.  hyde31       LUC emissions following scenario HYDE 3.1 (PgC yr-1)
## 3.  hyde32       LUC emissions following scenario HYDE 3.2 (PgC yr-1)
## 4.  hyde31u      LUC emissions following scenario HYDE 3.1 upper (PgC yr-1)
## 5.  hyde32u      LUC emissions following scenario HYDE 3.2 upper (PgC yr-1)
## 6.  kk10         LUC emissions following scenario HYDE KK 10 (PgC yr-1)
## 7.  kk10d        LUC emissions following scenario HYDE KK 10D (PgC yr-1)
## 8.  hyde31_cum   cumulative LUC emissions following scenario HYDE 3.1, (PgC)   
## 9.  hyde32_cum   cumulative LUC emissions following scenario HYDE 3.2, (PgC)   
## 10. hyde31u_cum  cumulative LUC emissions following scenario HYDE 3.1 upper, (PgC)    
## 11. hyde32u_cum  cumulative LUC emissions following scenario HYDE 3.2 upper, (PgC)
## 12. kk10_cum     cumulative LUC emissions following scenario HYDE KK 10, (PgC)
## 13. kk10d_cum    cumulative LUC emissions following scenario HYDE KK 10D, (PgC)   
## ----------------------------------------------------------------------------------
"year","hyde31","hyde32","hyde31u","hyde32u","kk10","kk10d","hyde31_cum","hyde32_cum","hyde31u_cum","hyde32u_cum","kk10_cum","kk10d_cum"
-10000,0,0,0,0,0,0,0,0,0,0,0,0
-9999,0,0,0,0,0,0,0,0,0,0,0,0
-9998,0,0,0,0,0.0114660541999156,1.26542681755382e-06,0,0,0,0,0.0114660541999156,1.26542681755382e-06
-9997,0,0,0,0,0.0152110372001237,1.97633607967873e-06,0,0,0,0,0.0266770914000393,3.24176289723255e-06
-9996,0,0,0,0,0.0163801985000749,3.09011102217482e-06,0,0,0,0,0.0430572899001142,6.33187391940737e-06
-9995,0,0,0,0,0.0243627619996835,4.34346839028876e-06,0,0,0,0,0.0674200518997977,1.06753423096961e-05
-9994,0,0,0,0,0.025448298100342,4.70002987640328e-06,0,0,0,0,0.0928683500001397,1.53753721860994e-05
-9993,0,0,0,0,0.0263372488996864,4.98571898788214e-06,0,0,0,0,0.119205598899826,2.03610911739815e-05
-9992,0,0,0,0,0.026929725800243,5.81899666940444e-06,0,0,0,0,0.146135324700069,2.6180087843386e-05
-9991,0,0,0,0,0.0235123882999847,6.35953028904623e-06,0,0,0,0,0.169647713000054,3.25396181324322e-05
-9990,0,0,0,0,0.0204936630000808,4.21627282776171e-06,0,0,0,0,0.190141376000135,3.67558909601939e-05
-9989,0,0,0,0,0.0213690009998799,3.6871160773444e-06,0,0,0,0,0.211510377000014,4.04430070375383e-05
-9988,0,0,0,0,0.0231512300001353,6.87425563228317e-06,0,0,0,0,0.23466160700015,4.73172626698215e-05
-9987,0,0,0,0,0.0225233769996289,6.42804207018344e-06,0,0,0,0,0.257184983999779,5.37453047400049e-05
-9986,0,0,0,0,0.0207972650000807,5.54674306840752e-06,0,0,0,0,0.277982248999859,5.92920478084125e-05
-9985,0,0,0,0,0.021962886000032,6.53411234452506e-06,0,0,0,0,0.299945134999891,6.58261601529375e-05
-9984,0,0,0,0,0.0223286720001841,8.31709576232242e-06,0,0,0,0,0.322273807000076,7.41432559152599e-05
-9983,0,0,0,0,0.0215910829999302,7.54725124352262e-06,0,0,0,0,0.343864890000006,8.16905071587826e-05
-9982,0,0,0,0,0.0226470969996792,8.90982983037247e-06,0,0,0,0,0.366511986999685,9.0600336989155e-05
-9981,0,0,0,0,0.0204035000004839,1.00976199064462e-05,0,0,0,0,0.386915487000169,0.000100697956895601
-9980,0,0,0,0,0.0224541299995271,8.74016996021965e-06,0,0,0,0,0.409369616999696,0.000109438126855821
-9979,0,0,0,0,0.0241091840004897,6.44793908577412e-06,0,0,0,0,0.433478801000186,0.000115886065941595
-9978,0,0,0,0,0.02435772599953,1.00876577562303e-05,0,0,0,0,0.457836526999716,0.000125973723697825
-9977,0,0,0,0,0.0240035410000852,9.23581046663458e-06,0,0,0,0,0.481840067999801,0.00013520953416446
-9976,0,0,0,0,0.0229371750001339,9.34395393414889e-06,0,0,0,0,0.504777242999935,0.000144553488098609
-9975,0,0,0,0,0.0235846799999833,1.02295016404241e-05,0,0,0,0,0.528361922999918,0.000154782989739033
-9974,0,0,0,0,0.0233257260002859,1.20823933684733e-05,0,0,0,0,0.551687649000204,0.000166865383107506
-9973,0,0,0,0,0.0276726359994339,1.08428571365948e-05,0,0,0,0,0.579360284999638,0.000177708240244101
-9972,0,0,0,0,0.0282038240004453,1.29779186863743e-05,0,0,0,0,0.607564109000083,0.000190686158930475
-9971,0,0,0,0,0.0269439350000895,1.34801871354284e-05,0,0,0,0,0.634508044000173,0.000204166346065904
-9970,0,0,0,0,0.0239727869994783,1.43679990287637e-05,0,0,0,0,0.658480830999651,0.000218534345094667
